,Title,Lyric,Age Class tag,processed_lyric,cluster
14,Lirik Lagu Bagi Dua - Christina,"kusayang mama kusayang papa dua-duanya sama nilainya la-la-la-la-la-la-la la-la-la-la-la-la-la sayangku... bagi dua cintaku... bagi dua kasihku... bagi dua rinduku... bagi dua lima puluh tuk mama lima puluh tuk papa dua-duanya sama seratus bagi dua ya ya lima puluh, lima puluh sayangku...bagi dua gemesku...bagi dua kangenku..bagi dua semua... bagi dua pipi... kananku, tuk dicium mama pipi... kiriku, tuk dicium papa seratus dibagi dualima puluh, lima puluh sayangku... bagi dua cintaku... bagi dua kasihku... bagi dua rinduku... bagi dua lima puluh tuk nenek lima puluh tuk kakek dua-duanya sama seratus bagi dua ya ya lima puluh, lima puluh",anak,sayang mama sayang papa dua sama nilai la-la-la-la-la-la-la la-la-la-la-la-la-la sayang bagi dua cinta bagi dua kasih bagi dua rindu bagi dua lima puluh tuk mama lima puluh tuk papa dua sama ratus bagi dua ya ya lima puluh lima puluh sayang bagi dua gemesku bagi dua kangen bagi dua semua bagi dua pipi kanan tuk cium mama pipi kiri tuk cium papa ratus bagi dualima puluh lima puluh sayang bagi dua cinta bagi dua kasih bagi dua rindu bagi dua lima puluh tuk nenek lima puluh tuk kakek dua sama ratus bagi dua ya ya lima puluh lima puluh,2
15,Lirik Lagu Bagi Teman Kami - Joshua,bagi teman kami yang sedang sakit kami mendoakan padamu tuhan beri kesembuhan dengan rahmat-mu agar esok hari dapat sekolah pula bagi teman kami yang sedang sakit kami mendoakan padamu tuhan beri kesembuhan dengan rahmat-mu agar esok hari dapat sekolah pula beri kesembuhan dengan rahmat-mu agar esok hari dapat sekolah pula,anak,bagi teman kami yang sedang sakit kami doa pada tuhan beri sembuh dengan rahmat agar esok hari dapat sekolah pula bagi teman kami yang sedang sakit kami doa pada tuhan beri sembuh dengan rahmat agar esok hari dapat sekolah pula beri sembuh dengan rahmat agar esok hari dapat sekolah pula,0
16,Lirik Lagu Balita - Fariz RM,hari-hari semakin tinggi jauh beranjak pergi seakan tak kuasa menghadapi segalanya suasana berganti sendu alam pun nampak ragu sementara kau lahir dalam kemelut ini apa yang kan terjadi nanti tiada kau sadari dalam jiwa sucimu yang penuh bencana harus sanggupkah dirimu nanti menghalau bencana atau warisan yang mulai ternoda diri sayup-sayup tangismu datang hanyut di malam sepi mengisi lembar usia polos pasrah dan hangat dalam tawa terungkap pula kebebasan yang nyata tak perdulikan waktu atau batasan diri tak kan mungkin terjawab jua apakah yang ada dalam akal pikiranmu saat ini oh... adakah tindakan kita kau rasakan bagai kisah bunda menjelang tidur siang dan malam oh... yang akan kembali lagi walau mungkin bukan milik kita pula dan jadi cerita oh... padamu tumpuan bangsa di kemudian hari untuk melanjutkan cita-cita kita apapun nanti tantangan itu menjadi bekal kehidupan maha takdir lingkungan palsu oh... tuhanku biarkan dia tumbuh dan dewasa untuk menghapuskan tanda tanya kita semua,anak,hari makin tinggi jauh anjak pergi akan tak kuasa hadap segala suasana ganti sendu alam pun nampak ragu sementara kau lahir dalam kemelut ini apa yang kan jadi nanti tiada kau sadar dalam jiwa suci yang penuh bencana harus sanggup diri nanti halau bencana atau waris yang mulai noda diri sayup tangis datang hanyut di malam sepi isi lembar usia polos pasrah dan hangat dalam tawa ungkap pula bebas yang nyata tak duli waktu atau batas diri tak kan mungkin jawab jua apakah yang ada dalam akal pikir saat ini oh ada tindak kita kau rasa bagai kisah bunda jelang tidur siang dan malam oh yang akan kembali lagi walau mungkin bukan milik kita pula dan jadi cerita oh pada tumpu bangsa di kemudian hari untuk lanjut cita kita apa nanti tantang itu jadi bekal hidup maha takdir lingkung palsu oh tuhan biar dia tumbuh dan dewasa untuk hapus tanda tanya kita semua,0
17,Lirik Lagu Balonku - Lagu Anak Indonesia,"balonku ada lima rupa-rupa warnanya hijau, kuning, kelabu merah muda dan biru meletus balon hijau dor hatiku sangat kacau balonku tinggal empat kupegang erat-erat",anak,balon ada lima rupa warna hijau kuning kelabu merah muda dan biru letus balon hijau dor hati sangat kacau balon tinggal empat pegang erat,0
18,Lirik Lagu Bangun Pagi - Lagu Anak Indonesia,"satu dua, tiga empat lima enam, tujuh delapan siapa rajin ke sekolah cari ilmu sampai dapat sungguh senang amat senang bangun pagi pagi sungguh senang",anak,satu dua tiga empat lima enam tujuh delapan siapa rajin ke sekolah cari ilmu sampai dapat sungguh senang amat senang bangun pagi pagi sungguh senang,0
19,Lirik Lagu Bangun Tidur - Lagu Anak Indonesia,bangun tidur ku terus mandi tidak lupa menggosok gigi habis mandi ku tolong ibu membersihkan tempat tidurku,anak,bangun tidur ku terus mandi tidak lupa gosok gigi habis mandi ku tolong ibu bersih tempat tidur,0
20,Lirik Lagu Bebek Bebekku - Vien Is Haryanto,bebek-bebekku mari kemari ikutlah aku ke kebun bibi disana banyak kesukaanmu cacing yang gemuk oh.. ayo diserbu berebut.. berebut.. sungguh ramainya kwek kwek kwek kwek kwek kwek bersuka ria,anak,bebek mari kemari ikut aku ke kebun bibi sana banyak suka cacing yang gemuk oh ayo serbu rebut rebut sungguh ramai kwek kwek kwek kwek kwek kwek suka ria,0
21,Lirik Lagu Berenang - Joshua,bur cebar-cebur hobiku renang bur cebar-cebur renang di kolam aku bisa gaya kodok juga gaya punggung yang nggak bisa eh..gaya botol nak enak-enak berenang rame-rame sik asyik-asyik memang asyik nak enak-enak berenang rame-rame biar badan tetap sehat bur cebar-cebur cebar-cebur,anak,bur cebar-cebur hobi renang bur cebar-cebur renang di kolam aku bisa gaya kodok juga gaya punggung yang nggak bisa eh gaya botol nak enak renang rame-rame sik asyik memang asyik nak enak renang rame-rame biar badan tetap sehat bur cebar-cebur cebar-cebur,0
22,Lirik Lagu Bermain - Lagu Anak Indonesia,"petik rambutan bungkus di kain belilah kain buatan bangka ayolah kawan kita bermain kita bermain bersama-sama ayo ayo ayo, lari lari lari ayo lari jangan berhenti ayo ayo ayo, lari lari lari ayo lari jangan berhenti helly guk guk guk",anak,petik rambutan bungkus di kain bilah kain buat bangka ayo kawan kita main kita main sama ayo ayo ayo lari lari lari ayo lari jangan henti ayo ayo ayo lari lari lari ayo lari jangan henti helly guk guk guk,0
23,Lirik Lagu Bintang Kecil - Lagu Anak Indonesia,"bintang kecil, di langit yang tinggi amat banyak, menghias angkasa aku ingin, terbang dan menari jauh tinggi ke tempat kau berada",anak,bintang kecil di langit yang tinggi amat banyak hias angkasa aku ingin terbang dan tari jauh tinggi ke tempat kau ada,0
24,Lirik Lagu Bintang Kejora - Lagu Anak Indonesia,ku pandang langit penuh bintang bertaburan berkelap kelip seumpama bintang berlian tampak sebuah lebih terang cahayanya itulah bintangku bintang kejora yang indah selalu,anak,ku pandang langit penuh bintang tabur kelap kelip umpama bintang berlian tampak buah lebih terang cahaya itu bintang bintang kejora yang indah selalu,0
25,Lirik Lagu Bunda Piara - Lagu Anak Indonesia,bila kuingat lelah ayah bunda bunda piara piara akan daku sehingga aku besarlah waktuku kecil hidupku amatelah senang senang dipangku dipangku dipeluknya serta dicium dicium dimanjakan namanya kesayangan,anak,bila ingat lelah ayah bunda bunda piara piara akan daku sehingga aku besar waktu kecil hidup amatelah senang senang pangku pangku peluk serta cium cium manja nama sayang,0
26,Lirik Lagu Bunga Hiasan - Lagu Anak Indonesia,bunga-bunga di dalam taman beraneka warna untuk hiasan kupetik bunga untuk kenangan untuk ibu dan handai taulan,anak,bunga di dalam taman aneka warna untuk hias petik bunga untuk kenang untuk ibu dan handai taul,0
27,Lirik Lagu Bungaku - Lagu Anak Indonesia,waktu menyingsing fajar pagi sunyi senyap matahari bersinar mengganti malam gelap nampak sekuntum bunga di muka rumahku kepala mas juita daunnya beledu,anak,waktu singsing fajar pagi sunyi senyap matahari sinar ganti malam gelap nampak kuntum bunga di muka rumah kepala mas juita daun beledu,0
28,Lirik Lagu Burung Hantu - Lagu Anak Indonesia,"matahari terbenam, hari mulai malam terdengar burung hantu, suaranya merdu kukuk, kukuk, kukuk kukuk kukuk kukuk, kukuk, kukuk kukuk kukuk",anak,matahari benam hari mulai malam dengar burung hantu suara merdu kukuk kukuk kukuk kukuk kukuk kukuk kukuk kukuk kukuk kukuk,0
29,Lirik Lagu Burung Kakaktua - Lagu Anak Indonesia,burung kakaktua hinggap di jendela nenek sudah tua giginya tinggal dua trek-jing... trek-jing trek-jing tra-la-la trek-jing... trek-jing trek-jing tra-la-la trek-jing... trek-jing trek-jing tra-la-la burung kakaktua,anak,burung kakaktua hinggap di jendela nenek sudah tua gigi tinggal dua trek-jing trek-jing trek-jing tra-la-la trek-jing trek-jing trek-jing tra-la-la trek-jing trek-jing trek-jing tra-la-la burung kakaktua,2
30,Lirik Lagu Burung Kecilku - Christina,burung kecilku jangan kau bersedih ayo nyanyikan lagu yang merdu lagu yang selalu engkau dendangkan di pucuk pohon yang rindang saat terbit sang matahari burung kecilku andaikan tak bahagia hidup terkurung di sangkar yang indah kurela melepasmu ke alam luas walau berat hatiku karena ku menyayangimu terbang... terbanglah jauh nikmati kebebasanmu terbang... kejarlah temanmu bermain di langit biru terbang... kepakkan sayapmu kembali ke alam bebas terbang... bersama temanmu ceriakan... alam negeriku,anak,burung kecil jangan kau sedih ayo nyanyi lagu yang merdu lagu yang selalu engkau dendang di pucuk pohon yang rindang saat terbit sang matahari burung kecil andai tak bahagia hidup kurung di sangkar yang indah rela lepas ke alam luas walau berat hati karena ku sayang terbang terbang jauh nikmat bebas terbang kejar teman main di langit biru terbang kepak sayap kembali ke alam bebas terbang sama teman ceria alam negeri,0
31,Lirik Lagu Burung Kutilang - Lagu Anak Indonesia,"di pucuk pohon cempaka burung kutilang berbunyi bersiul, siul sepanjang hari dengan tak jemu jemu mengangguk angguk sambil berseru trilili lili lilili sambil berlompat lompatan paruhnya selalu terbuka di geleng gelengkan kepalanya menentang langit biru tandanya ia suka berseru trilili lili lilili aku hendak ke pekan mau beli ikan ku masak dengan santan untuk ayah makan ini ikan tengiri siapa yang punya aku hendak memberi murahkan harganya ini uang setali jangan ikat lagi hari sudah tinggi bunga di dalam taman ku merah putih kuning ungu setiap hari ku .........",anak,di pucuk pohon cempaka burung tilang bunyi siul siul panjang hari dengan tak jemu jemu angguk angguk sambil seru trilili lili lilili sambil lompat lompat paruh selalu buka di geleng geleng kepala tentang langit biru tanda ia suka seru trilili lili lilili aku hendak ke pekan mau beli ikan ku masak dengan santan untuk ayah makan ini ikan tengiri siapa yang punya aku hendak beri murah harga ini uang setal jangan ikat lagi hari sudah tinggi bunga di dalam taman ku merah putih kuning ungu tiap hari ku,0
32,Lirik Lagu Burung Unta - Lagu Anak Indonesia,ada sebangsa burung yang tidak bisa terbang tubuhnya sangat jangkung seperti naik engrang panjanglah kakinya panjanglah lehernya datang dari afrika itulah burung unta,anak,ada bangsa burung yang tidak bisa terbang tubuh sangat jangkung seperti naik engrang panjang kaki panjang leher datang dari afrika itu burung unta,0
33,Lirik Lagu Cibang Cibung - Joshua,"cibang-cibung cibang-cibung cebar-cebur cebar-cebur biar cakap biar bersih biar aksi aku mau mandi cibang-cibung cibang-cibung cebar-cebur cebar-cebur pakai shampo pakai sabun pakai bedak ah...ku jadi wangi mama mana bajunya mana celana aku sekarang aku telah rapih sekarang aku mau aksi jangan lupa sisir rambut, pakai dasi topi juga boleh",anak,cibang-cibung cibang-cibung cebar-cebur cebar-cebur biar cakap biar bersih biar aksi aku mau mandi cibang-cibung cibang-cibung cebar-cebur cebar-cebur pakai shampo pakai sabun pakai bedak ah ku jadi wangi mama mana baju mana celana aku sekarang aku telah rapih sekarang aku mau aksi jangan lupa sisir rambut pakai dasi topi juga boleh,0
34,Lirik Lagu Cicak Cicak Di Dinding - Lagu Anak Indo,cicak-cicak di dinding diam diam merayap datang seekor nyamuk hap... lalu ditangkap,anak,cicak-cicak di dinding diam diam rayap datang ekor nyamuk hap lalu tangkap,0
35,Lirik Lagu Cit Cit Cuit - Joshua,"cit..cit cuit..cit..cit..cuit burung bernyanyi tok..tok..tok peto..tok..tok..tok..petok ayam bertelur..wek..wek..wek..kowek wek..wek..wwek..kowek bebek berenang sapi berendam kambingpun ikut senang ayo hai kawan jagalah satwa macan, kijang, gajah juga harus dijaga jangan ditembak jangan diburu lindungilah semua satwa ciptaan tuhan",anak,cit cit cuit cit cit cuit burung nyanyi tok tok tok peto tok tok tok tok ayam telur wek wek wek kowek wek wek wwek kowek bebek renang sapi rendam kambing ikut senang ayo hai kawan jaga satwa macan kijang gajah juga harus jaga jangan tembak jangan buru lindung semua satwa cipta tuhan,0
36,Lirik Lagu Desaku - Netral,desaku yang kucinta pujaan hatiku tempat ayah dan bunda dan handai taulanku tak mudah kulupakan tak mudah bercerai selalu kurindukan desaku yang permai,anak,desa yang cinta puja hati tempat ayah dan bunda dan handai taul tak mudah lupa tak mudah cerai selalu rindu desa yang permai,0
37,Lirik Lagu Di Doa Ibuku Namaku Disebut - Joshua,"di waktu ku masih kecil, gembira dan senang tiada duka ku kenal, tak kunjung mengerang di sore hari nan sepi....ibuku bertelut sujud berdoa ku dengar namaku disebut di doa ibuku, namaku disebut di doa ibuku ku dengar, ada namaku disebut sering ini ku kenang, di masa yang berat di kala hidup mendesak dan nyaris ku sesat melintas gambar ibuku, sewaktu bertelut kembali sayup ku dengar namaku disebut di sore hari nan sepi... ibuku bertelut sujud berdoa ku dengar namaku disebut di doa ibuku, namaku disebut di doa ibuku dengar ada namaku disebut ada namaku di sebut sekarang dia telah pergi ke rumah yang tenang namun kasihnya padaku selalu ku kenang ku lintas gambar ibuku sewaktu berteduh kembali sayup kudengar... namaku disebut..",anak,di waktu ku masih kecil gembira dan senang tiada duka ku kenal tak kunjung erang di sore hari nan sepi ibu telut sujud doa ku dengar nama sebut di doa ibu nama sebut di doa ibu ku dengar ada nama sebut sering ini ku kenang di masa yang berat di kala hidup desak dan nyaris ku sesat lintas gambar ibu waktu telut kembali sayup ku dengar nama sebut di sore hari nan sepi ibu telut sujud doa ku dengar nama sebut di doa ibu nama sebut di doa ibu dengar ada nama sebut ada nama di sebut sekarang dia telah pergi ke rumah yang tenang namun kasih pada selalu ku kenang ku lintas gambar ibu waktu teduh kembali sayup dengar nama sebut,0
38,Lirik Lagu Di Stasiun Kereta Api - Tasya,di stasiun di stasiun sungguh ramai sekali hiruk pikuk semua sibuk di sepanjang peron ada yang berpergian ada yang menjemput ada pula yang mengantar di stasiun di stasiun di stasiun ramai sepanjang hari kereta api silih berganti datang dan berangkat semua menurut jadwal teliti dan tepat semua tertib dan teratur di stasiun kereta apiku lari dengan kencang melintas sawah bukit serta ladang angin mengejar mencoba mengalang kereta apiku laju bagai terbang larilah cepat hai kereta apiku bawaku seg'ra ke tempat ku tuju jika kau tampak kampung halamanku bunyikan nyaring seruling keretamu kereta apiku lari dengan kencang melintas sawah bukit serta ladang angin mengejar mencoba mengalang kereta apiku laju bagai terbang lajulah laju...kereta apiku...lajulah laju...kereta apiku...lajulah laju...,anak,di stasiun di stasiun sungguh ramai sekali hiruk pikuk semua sibuk di panjang peron ada yang pergi ada yang jemput ada pula yang antar di stasiun di stasiun di stasiun ramai panjang hari kereta api silih ganti datang dan berangkat semua turut jadwal teliti dan tepat semua tertib dan atur di stasiun kereta api lari dengan kencang lintas sawah bukit serta ladang angin kejar coba alang kereta api laju bagai terbang lari cepat hai kereta api bawa seg ra ke tempat ku tuju jika kau tampak kampung halaman bunyi nyaring seruling kereta kereta api lari dengan kencang lintas sawah bukit serta ladang angin kejar coba alang kereta api laju bagai terbang laju laju kereta api laju laju kereta api laju laju,0
39,Lirik Lagu Dua Mata Saya - Lagu Anak Indonesia,dua mata saya hidung saya satu dua kaki saya pakai sepatu baru dua telinga saya yang kiri dan kanan satu mulut saya tidak berhenti makan,anak,dua mata saya hidung saya satu dua kaki saya pakai sepatu baru dua telinga saya yang kiri dan kanan satu mulut saya tidak henti makan,0
40,Lirik Lagu Gatotkaca - Bembi,"otot kawat tulang besi pendekar kuat sangat berani oh gatotkaca terbang ke angkasa cari musuhnya untuk diadili berlambang bintang oh di dadanya baju lapis emas dan bermahkita oh gatotkaca, oh gatotkaca si gatotkaca dia tolong siapa saja tanpa harapkan suatu imbalan oh gatotkaca satria sejati tak pernah mati selalu abadi tokoh khayangan yang jadi legenda selalu dikenang dan disegani",anak,otot kawat tulang besi pendekar kuat sangat berani oh gatotkaca terbang ke angkasa cari musuh untuk adil lambang bintang oh di dada baju lapis emas dan bermahkita oh gatotkaca oh gatotkaca si gatotkaca dia tolong siapa saja tanpa harap suatu imbal oh gatotkaca satria sejati tak pernah mati selalu abadi tokoh khayangan yang jadi legenda selalu kenang dan segani,0
41,Lirik Lagu Gelang Sipaku Gelang - Lagu Anak Indone,gelang sipaku gelang gelang si rama rama mari pulang marilah pulang marilah pulang bersama-sama mari pulang marilah pulang marilah pulang bersama-sama sayonara sayonara sampai berjumpa pulang sayonara sayonara sampai berjumpa pulang buat apa susah buat apa susah susah itu tak ada gunanya,anak,gelang sipaku gelang gelang si rama rama mari pulang mari pulang mari pulang sama mari pulang mari pulang mari pulang sama sayonara sayonara sampai jumpa pulang sayonara sayonara sampai jumpa pulang buat apa susah buat apa susah susah itu tak ada guna,0
42,Lirik Lagu Hati-Hati Gunakan Badanmu - Joshua,matamu yang kecil awaslah jangan sampai kau melihat yang salah karena tuhan melihat semua yang engkau lihat matamu yang kecil awaslah mulutmu yang kecil awaslah jangan sampai kau berucap yang salah karena tuhan mendengar semua yang kau ucapkan mulutmu yang kecil awaslah hati-hati gunakan badanmu jangan sampai kau berbuat yang salah karena tuhan melihat yang kau buat hati hati gunakan badanmu hati hati gunakan tubuhmu jangan sampai kau berbuat yang salah karena tuhan melihat yang kau perbuat hati hati kau pergunakan tubuhmu karena tuhan melihat semua yang kau perbuat hati-hati kau pergunakan tubuhmu,anak,mata yang kecil awas jangan sampai kau lihat yang salah karena tuhan lihat semua yang engkau lihat mata yang kecil awas mulut yang kecil awas jangan sampai kau ucap yang salah karena tuhan dengar semua yang kau ucap mulut yang kecil awas hati guna badan jangan sampai kau buat yang salah karena tuhan lihat yang kau buat hati hati guna badan hati hati guna tubuh jangan sampai kau buat yang salah karena tuhan lihat yang kau buat hati hati kau guna tubuh karena tuhan lihat semua yang kau buat hati kau guna tubuh,3
43,Lirik Lagu Hompimpa - Joshua,hompimpa uik uik uik hompimpa? hompimpa uik uik uik hompimpa kawan kawan semua kemari kita berkumpul disini jangan ada yang tertinggal kita bermain hompimpa hompimpa uik uik uik hompimpa aku ajarkan caranya semuanya harus mengikuti balik tangan di depan dada yang menyendiri dia yang jadi huuu hompimpa ayo ayo kita berlari ayo ayo kita sembunyi ayo ayo aduuuh?.asyiknya memang asyik main hompimpa.. huw..,anak,hompimpa uik uik uik hompimpa hompimpa uik uik uik hompimpa kawan kawan semua kemari kita kumpul sini jangan ada yang tinggal kita main hompimpa hompimpa uik uik uik hompimpa aku ajar cara semua harus ikut balik tangan di depan dada yang sendiri dia yang jadi huuu hompimpa ayo ayo kita lari ayo ayo kita sembunyi ayo ayo aduuuh asyik memang asyik main hompimpa huw,0
44,Lirik Lagu Ibu Kita Kartini - Lagu Anak Indonesia,"ibu kita kartini, putri sejati putri indonesia, harum namanya ibu kita kartini, pendekar bangsa pendekar kaumnya untuk merdeka wahai ibu kita kartini putri yang mulia sungguh besar cita-citanya bagi indonesia",anak,ibu kita kartini putri sejati putri indonesia harum nama ibu kita kartini pendekar bangsa pendekar kaum untuk merdeka wahai ibu kita kartini putri yang mulia sungguh besar cita bagi indonesia,0
45,Lirik Lagu Ibu Pertiwi - Lagu Anak Indonesia,ku lihat ibu pertiwi sedang bersusah hati air matamu berlinang mas intanmu terkenang hutan gunung sawah lautan simpanan kekayaan kini ibu sedang susah merintih dan berdoa ku lihat ibu pertiwi kami datang berbakti lihatlah putra-putrimu menggembirakan ibu ibu kami tetap cinta putramu yang setia menjaga harta pusaka untuk nusa dan bangsa,anak,ku lihat ibu pertiwi sedang susah hati air mata linang mas intan kenang hutan gunung sawah laut simpan kaya kini ibu sedang susah rintih dan doa ku lihat ibu pertiwi kami datang bakti lihat putra-putrimu gembira ibu ibu kami tetap cinta putra yang setia jaga harta pusaka untuk nusa dan bangsa,0
